Question,Location,Sex,Answer,Count
Q201. What is the highest degree or level of school you have completed?,Amman,Female,Secondary school certificate,19
Q201. What is the highest degree or level of school you have completed?,AlMafraq,Male,Masters,0
Q201. What is the highest degree or level of school you have completed?,AlMafraq,Male,Did not attend school but can read and write,11
Q201. What is the highest degree or level of school you have completed?,AlMafraq,Male,Ph.D.,0
Q201. What is the highest degree or level of school you have completed?,AlMafraq,Male,Did not attend school (cannot write and read),14
Q201. What is the highest degree or level of school you have completed?,AlMafraq,Male,Primary school certificate,33
Q201. What is the highest degree or level of school you have completed?,AlMafraq,Male,Diploma,2
Q201. What is the highest degree or level of school you have completed?,AlMafraq,Male,University degree,1
Q201. What is the highest degree or level of school you have completed?,AlMafraq,Male,Secondary school certificate,4
Q201. What is the highest degree or level of school you have completed?,AlMafraq,Female,Masters,0
Q201. What is the highest degree or level of school you have completed?,AlMafraq,Female,Did not attend school but can read and write,13
Q201. What is the highest degree or level of school you have completed?,AlMafraq,Female,Ph.D.,0
Q201. What is the highest degree or level of school you have completed?,AlMafraq,Female,Did not attend school (cannot write and read),35
Q201. What is the highest degree or level of school you have completed?,AlMafraq,Female,Primary school certificate,89
Q201. What is the highest degree or level of school you have completed?,AlMafraq,Female,Diploma,0
Q201. What is the highest degree or level of school you have completed?,AlMafraq,Female,University degree,2
Q201. What is the highest degree or level of school you have completed?,AlMafraq,Female,Secondary school certificate,6
Q201. What is the highest degree or level of school you have completed?,Irbid,Male,Masters,0
Q201. What is the highest degree or level of school you have completed?,Irbid,Male,Did not attend school but can read and write,5
Q201. What is the highest degree or level of school you have completed?,Irbid,Male,Ph.D.,0
Q201. What is the highest degree or level of school you have completed?,Irbid,Male,Did not attend school (cannot write and read),6
Q201. What is the highest degree or level of school you have completed?,Irbid,Male,Primary school certificate,132
Q201. What is the highest degree or level of school you have completed?,Irbid,Male,Diploma,9
Q201. What is the highest degree or level of school you have completed?,Irbid,Male,University degree,7
Q201. What is the highest degree or level of school you have completed?,Irbid,Male,Secondary school certificate,21
Q201. What is the highest degree or level of school you have completed?,Irbid,Female,Masters,0
Q201. What is the highest degree or level of school you have completed?,Irbid,Female,Did not attend school but can read and write,11
Q201. What is the highest degree or level of school you have completed?,Irbid,Female,Ph.D.,0
Q201. What is the highest degree or level of school you have completed?,Irbid,Female,Did not attend school (cannot write and read),11
Q201. What is the highest degree or level of school you have completed?,Irbid,Female,Primary school certificate,182
Q201. What is the highest degree or level of school you have completed?,Irbid,Female,Diploma,1
Q201. What is the highest degree or level of school you have completed?,Irbid,Female,University degree,2
Q201. What is the highest degree or level of school you have completed?,Irbid,Female,Secondary school certificate,28
